12,10,22
3,2,5
0,1,1
49,61,110
7,9,16
1,2,3
9,6,15
23,18,41
1,2,3
4,3,7
5,4,9
1,1,2
6,2,8
2,2,4
4,3,7
4,7,11
1,0,1
1,2,3
1,1,2
8,6,14
1,1,2
1,0,1
1,0,1
2,1,3
10,8,18
10,0,10
4,2,6
10,6,16
5,4,9
0,1,1
17,18,35
1,0,1
12,14,26
1,0,1
20,21,41
6,5,11
17,15,32
166,126,292
1,2,3
0,1,1
39,33,72
0,1,1
1,1,2
9,12,21
20,5,25
67,55,122
0,1,1
4,1,5
4,2,6
8,13,21
9,21,30
38,35,73
1,1,2
2,2,4
0,1,1
1,0,1
0,1,1
0,2,2
2,3,5
1,2,3
9,10,19
3,2,5
37,37,74
60,19,79
11,7,18
1,2,3
2,3,5
20,22,42
